op,bytes,provider,threads,trial,wall_ns_per_iter,cpu_ns_per_iter
parse_comment_one,4194304,cand-auto16,16,1,1077233.2,3380777.8
parse_comment_one,4194304,cand-on8,8,1,1447889.2,2730666.7
parse_comment_one,4194304,cand-on8,8,2,1027324.8,2346555.6
parse_comment_one,4194304,cand-auto16,16,2,843864.1,3115777.8
parse_comment_one,4194304,cand-auto8,8,2,1088096.8,2405111.1
parse_comment_one,4194304,cand-off,1,2,1539255.0,1533888.9
parse_comment_one,4194304,oracle,1,2,2613125.3,2544666.7
parse_comment_one,4194304,oracle,1,3,2542865.6,2537666.7
parse_comment_one,4194304,cand-off,1,3,1498006.0,1493111.1
parse_comment_one,4194304,cand-auto8,8,3,1143576.8,2537666.7
parse_comment_one,4194304,cand-auto16,16,3,903216.9,3220666.7
parse_comment_one,4194304,cand-on8,8,3,1152482.3,2594666.7
parse_comment_one,4194304,cand-on8,8,4,1033547.4,2388000.0
parse_comment_one,4194304,cand-auto16,16,4,1053840.8,3301888.9
parse_comment_one,4194304,cand-auto8,8,4,1105340.1,2469333.3
parse_comment_one,4194304,cand-off,1,4,1564868.2,1561666.7
parse_comment_one,4194304,oracle,1,4,2522460.9,2510111.1
parse_comment_one,4194304,oracle,1,5,2514867.8,2509111.1
parse_comment_one,4194304,cand-off,1,5,1545321.9,1537666.7
parse_comment_one,4194304,cand-auto8,8,5,1049931.2,2413555.6
parse_comment_one,4194304,cand-auto16,16,5,817061.9,3035555.6
parse_comment_one,4194304,cand-on8,8,5,1151964.7,2430111.1
parse_comment_one,4194304,cand-on8,8,6,899749.3,2387111.1
parse_comment_one,4194304,cand-auto16,16,6,1039686.7,3262000.0
parse_comment_one,4194304,cand-auto8,8,6,1140775.0,2616333.3
parse_comment_one,4194304,cand-off,1,6,1602478.3,1580444.4
parse_comment_one,4194304,oracle,1,6,2559637.9,2551222.2
parse_comment_one,4194304,oracle,1,7,2529940.3,2523555.6
parse_comment_one,4194304,cand-off,1,7,1525756.4,1524000.0
parse_comment_one,4194304,cand-auto8,8,7,1171218.3,2517444.4
parse_comment_one,4194304,cand-auto16,16,7,973158.3,3211777.8
parse_comment_one,4194304,cand-on8,8,7,1091643.3,2452666.7
parse_cdata_many,1048576,oracle,1,1,2563719.2,2553090.9
parse_cdata_many,1048576,cand-off,1,1,369424.5,368545.5
parse_cdata_many,1048576,cand-auto8,8,1,129656.0,470363.6
parse_cdata_many,1048576,cand-auto16,16,1,388121.2,1138272.7
parse_cdata_many,1048576,cand-on8,8,1,145283.3,535272.7
parse_cdata_many,1048576,cand-on8,8,2,127206.9,516181.8
parse_cdata_many,1048576,cand-auto16,16,2,172183.5,1030636.4
parse_cdata_many,1048576,cand-auto8,8,2,199247.5,649363.6
parse_cdata_many,1048576,cand-off,1,2,337815.6,336000.0
parse_cdata_many,1048576,oracle,1,2,2484582.6,2481363.6
parse_cdata_many,1048576,oracle,1,3,2484545.3,2479272.7
parse_cdata_many,1048576,cand-off,1,3,381688.3,380727.3
parse_cdata_many,1048576,cand-auto8,8,3,126283.4,553545.5
parse_cdata_many,1048576,cand-auto16,16,3,144256.0,1020181.8
parse_cdata_many,1048576,cand-on8,8,3,161388.8,592636.4
parse_cdata_many,1048576,cand-on8,8,4,171104.2,646818.2
parse_cdata_many,1048576,cand-auto16,16,4,148482.9,1002454.5
parse_cdata_many,1048576,cand-auto8,8,4,149855.5,555909.1
parse_cdata_many,1048576,cand-off,1,4,396078.7,393818.2
parse_cdata_many,1048576,oracle,1,4,2629969.8,2527000.0
parse_cdata_many,1048576,oracle,1,5,2555170.5,2549909.1
parse_cdata_many,1048576,cand-off,1,5,388750.5,387181.8
parse_cdata_many,1048576,cand-auto8,8,5,155618.1,563454.5
parse_cdata_many,1048576,cand-auto16,16,5,191058.6,1072272.7
parse_cdata_many,1048576,cand-on8,8,5,145363.5,594090.9
parse_cdata_many,1048576,cand-on8,8,6,163285.1,604545.5
parse_cdata_many,1048576,cand-auto16,16,6,188893.7,1026818.2
parse_cdata_many,1048576,cand-auto8,8,6,163596.5,568090.9
parse_cdata_many,1048576,cand-off,1,6,358044.2,357272.7
parse_cdata_many,1048576,oracle,1,6,2565472.5,2561363.6
parse_cdata_many,1048576,oracle,1,7,2580361.1,2570454.5
parse_cdata_many,1048576,cand-off,1,7,486874.2,416000.0
parse_cdata_many,1048576,cand-auto8,8,7,153197.2,571727.3
parse_cdata_many,1048576,cand-auto16,16,7,167166.0,1033909.1
parse_cdata_many,1048576,cand-on8,8,7,150393.8,583636.4
parse_cdata_many,4194304,oracle,1,1,10772917.0,10235000.0
parse_cdata_many,4194304,cand-off,1,1,1294711.5,1291000.0
parse_cdata_many,4194304,cand-auto8,8,1,557127.5,2177000.0
parse_cdata_many,4194304,cand-auto16,16,1,439609.0,2741500.0
parse_cdata_many,4194304,cand-on8,8,1,610993.5,2275500.0
parse_cdata_many,4194304,cand-on8,8,2,590119.5,2009000.0
parse_cdata_many,4194304,cand-auto16,16,2,435431.0,2675500.0
parse_cdata_many,4194304,cand-auto8,8,2,518290.5,2043000.0
parse_cdata_many,4194304,cand-off,1,2,1377115.5,1371500.0
parse_cdata_many,4194304,oracle,1,2,10288574.5,10271000.0
parse_cdata_many,4194304,oracle,1,3,10874631.5,10860000.0
parse_cdata_many,4194304,cand-off,1,3,1490917.0,1449000.0
parse_cdata_many,4194304,cand-auto8,8,3,519132.0,2288500.0
parse_cdata_many,4194304,cand-auto16,16,3,422392.0,2622000.0
parse_cdata_many,4194304,cand-on8,8,3,431438.5,1798000.0
parse_cdata_many,4194304,cand-on8,8,4,427596.5,1849000.0
parse_cdata_many,4194304,cand-auto16,16,4,446722.0,2651000.0
parse_cdata_many,4194304,cand-auto8,8,4,515550.5,2024000.0
parse_cdata_many,4194304,cand-off,1,4,1292017.0,1287000.0
parse_cdata_many,4194304,oracle,1,4,10305551.0,10183000.0
parse_cdata_many,4194304,oracle,1,5,10278200.5,10263000.0
parse_cdata_many,4194304,cand-off,1,5,1377456.0,1372500.0
parse_cdata_many,4194304,cand-auto8,8,5,433618.0,1725000.0
parse_cdata_many,4194304,cand-auto16,16,5,578076.5,2824500.0
parse_cdata_many,4194304,cand-on8,8,5,643363.5,2103000.0
parse_cdata_many,4194304,cand-on8,8,6,444357.5,1691500.0
parse_cdata_many,4194304,cand-auto16,16,6,466864.5,2808500.0
parse_cdata_many,4194304,cand-auto8,8,6,632563.5,2349000.0
parse_cdata_many,4194304,cand-off,1,6,1358315.0,1353500.0
parse_cdata_many,4194304,oracle,1,6,10091773.5,10078000.0
parse_cdata_many,4194304,oracle,1,7,10459433.0,10446500.0
